1089-134686-0007  A cold, lucid and different rainbow was thrown.
61-70968-0000  He began a confused complaint against the wizard, who had vanished behind the curtain on the left.
61-70968-0003  He was like unto my father in a way, and yet was not my father.
61-70968-0006  But then the picture was gone as quickly as it came.
61-70968-0013  Before them fled the stroller and his three sons, Kaplis and Terahai.
61-70968-0021  Surely we can submit with good grace.
61-70968-0028  The head and chief of the riot, the Nottingham apprentice, with a clenched fist, threatened Mon Fichet.
61-70968-0034  I must be sure! I must be sure! E-Roll to the rescue!
61-70968-0040  Right willingly, for between us we have won the battle, answered Robin.
61-70968-0047  Master Monceau, the sheriff of Nottingham, was mightily put about when told of the rioting.
61-70968-0053  He is my Esquire, Excellency, returned Robert with dignity.
61-70968-0056  The wine did certainly bring back the color to the squire's cheeks.
61-70968-0059  It would be no disappointment to me.
61-70970-0000  Young Fitzuth had been commanded to his mother's chamber so soon as he had come out from his congress with the squire.
61-70970-0002  Most of all, Robin thought of his father. What would he counsel?
61-70970-0009  It is late, and I go myself within a short space.
61-70970-0014  Presently, he crossed the floor of his room with decided step.
61-70970-0016  We will go out together to the bower. There is a way down to the court from my window.
61-70970-0024  They moved thereafter cautiously about the hut, groping before and about them to find something to show that he wanted to fulfill his mission.
61-70970-0026  Fatuth's hand rested at last upon the top rung of the ladder, and slowly the truth came to him.
61-70970-0029  From the blackness behind the light they heard a voice, Warrington's.
61-70970-0030  Save the monsters that you started very well.
61-70970-0035  Warrington spoke thus with significance to show Robin that he was not to think Jeffrey's claims to the estate when he passed by.
61-70970-0038  The old servant told him quietly as he prepped after me. His passageway led from the hut in the Pleasance to Sherwood, and that Geoffrey, for the time, was hiding with the outlaws in the forest.
672-122797-0005  Oh, that made him so angry.
672-122797-0007  In autumn, the woodcutters always came and felled some of the largest trees.
672-122797-0010  Rejoice in my breath.
672-122797-0016  Yes, and something better, something still grander will surely follow. Wherefore should they thus ornament me?
672-122797-0017  Something's better, something's still up and you must follow. What?
672-122797-0018  The joys of our Christmas, said the air and the sunlight.
672-122797-0019  Rejoice in thy own fresh youth!
672-122797-0027  The servants, as well as the young ladies, decorated it.
672-122797-0032  I'll be young ladies. I can't help it out the fire.
672-122797-0034  A story, cried the children, drawing a little fat man towards the tree.
672-122797-0035  Thank you.
672-122797-0038  thought for a truth. He believed it all, because the man who told the story was so good-looking. Well, well...
672-122797-0047  How kind man is, after all!
672-122797-0050  They snuffed about the fir tree and rustled on the branches.
672-122797-0056  The fir tree, thinking over what he had himself devoted,
672-122797-0062  No, said the tree.
672-122797-0064  At last, the little mice stayed away also, and the tree sighed. After all, it was very pleasant when the sleek little mice sat round me and listened to what I told them.
672-122797-0067  The trunks were moved. The tree was pulled out and thrown. Rather hard, it is true, down on the floor. But a man drew him towards the stairs.
6829-68769-0000  Kenneth and Beth refrained from telling the other girls or Uncle John of Old Will Rogers' visit, but they got Mr. Watson in the library and questioned him closely with the penalty for forging a check.
6829-68769-0001  It was a serious crime indeed, Mr. Watson told them, and Tom Gates bade fair to serve a lengthy term in the state's prison as a consequence of his rash act.
6829-68769-0013  May we see Pates at once, asked Kenneth.
6829-68769-0015  Sometimes I'm back there to first smoke, I'm really crazy. I don't know which one is dying one way or the other.
6829-68769-0041  I'm not electioneering just now.
6829-68769-0045  I'll pay all the costs besides.
6829-68769-0046  You're foolish. Why should you do this?
6829-68769-0048  Give me a check for 150, and I'll turn over to you the forge check and quash further proceedings.
6829-68769-0052  He might have had that forged check for the face of it if he'd been sharp.
6829-68769-0053  and to think we can save all that misery and despair by the payment of $150.
6829-68771-0002  the weak-kneed contingency must be strengthened and fortified, and a couple of hundred votes in one way or the other secured from the opposition.
6829-68771-0005  The only thing necessary was to fix Seth Reynolds, and this Hopkins arranged personally.
6829-68771-0006  And this was why Kenneth and Beth discovered him conversing with the young woman in the buggy.
6829-68771-0021  But it can be, protested the girl.
6829-68771-0023  You speak like an educated person, said Beth wonderingly. Where is your home?
6829-68771-0033  She rose quickly to her feet with an impetuous gesture that made her visitor catch her breath.
6829-68771-0035  Will you leave me alone in my own room or must I go away to escape you?
6829-68771-0036  Eliza closed the door behind her with a decided slam and a key clicked in the lock.
6930-75918-0001  The English forwarded to the French baskets of flowers, of which they had made a plentiful provision to greet the arrival of the young princes. The French, in return, invited the English to assemble, which was to be given the next day.
6930-75918-0005  the count had thrown himself back on his seat leaning his shoulders against the partition of the tent and remained thus his face buried in his hands with heaving chest and restless limbs
6930-75918-0014  But, continued Rao, not interrupted by this movement of his friend, heaven be praised, the French, who are pronounced to be thoughtless and indiscreet, reckless even, are capable of bringing a calm and sound judgment to mineral patterns of such a high importance.
6930-75918-0020  Bragalon watched for some time the conduct of the two lovers, listened to the loud and uncivil slumbers of Mandator, who snored as imperiously as though he was wearing his blue and gold instead of his violet suit.
6930-76324-0000  Goliath makes another discovery.
6930-76324-0006  Hers happened to be on the same frame to Washington the day they didn't care about it.
6930-76324-0008  I thought we were stuck to get rid of the first solid pressure, but it was been of some use after all.
6930-76324-0017  Oh, let him come along, she urged. I do love to see him about that old house.
6930-76324-0018  he makes it sort of cozier.
6930-76324-0025  They both cried, peering in.
6930-81414-0001  I heard a noise behind. I turned and saw Kaffir, his black eyes shining, while in his hand he held a gleaming knife. He lifted it above his head as if to strike, but I had the strength of ten men, and I hurled him from me.
6930-81414-0014  In the light of the moon, I saw a knife, red with blood, and my hand, too, was also discontent.
6930-81414-0018  I remember saying, have we been together?
7021-79730-0002  by reason and affection.
7021-79740-0009  Oh, wow. Let's go.
7021-79740-0012  said she, pointing to the plate. See?
7021-79740-0014  And this method of treating the case was much more effectual in making them disposed to avoid committing a similar fault another time than any direct rebukes.
7021-85628-0000  But Anders cared nothing about that.
7021-85628-0004  Yes, why not, Father?
7021-85628-0008  For, like as not, they must have thought him a prince when they saw his fine cap.
7021-85628-0011  The princess sat down under a blue canopy with bouquets of roses, and she let Anders sit in a golden chair by her side.
7021-85628-0020  We've got lightning through all the halls, down all the stairs, and across the yard.
7127-75946-0001  Ah, very well.
7127-75946-0014  The queens had taken their seats upon a magnificent dais or platform erected upon the borders of the lake in a theater of wonderful elegance of construction.
7127-75946-0020  Far from it, Simon. Your Majesty haven't given no directions about it, and musicians have singed it.
7127-75947-0001  Upon this, Madame deigned to turn her eyes languishingly towards the Comte, observing,
7127-75947-0005  I allude to the garbage.
7127-75947-0007  She then rose, humming the air to which she was presently going to dance.
7127-75947-0008  The arrow pierced his heart and wounded him mortally.
7127-75947-0013  I remember now, and I congratulate myself. Do you love anyone?
7127-75947-0014  Forgive me, I hardly know what I am saying. A thousand times forgive me. The dam was right, quite right, and the big size completely changed my brain.
7127-75947-0031  Keep it positive.
7127-75947-0037  Oh, I am speaking seriously, replied Montalé, and my opinion in this case is quite as good as the king's, I suppose. Is it not, Louise?
7176-88083-0007  but such was his keenness that even though the wide fleets of his ignored victim were still sticking out at the corners of his beak, his fierce red eyes were once more peering downward into the torrent in search of fresh prey.
7176-88083-0008  In despair, he hurled himself out and came to sleep.
7176-88083-0012  upon a little bit of a branch inside upright, motionless as of surprise.
7176-88083-0018  where he squirted towards the heights of air, took all his savage vows, was troubled at the leaping waves and tossed their fingers in their lapids. He did not understand them.
7176-88083-0020  where the waves one instant sank, they turned open, but not quite as fast as it was.
7176-88083-0021  But as before, the leaping waves of the rapids were too much for his pursuer, and he was able to flap his way over without a phone, while dude hung low above his head and hesitated to strike.
7176-88083-0026  The drag upon his beak and the light check upon his wings were inextricable to him and appalling.
7176-92135-0001  In short, he becomes a prominent figure in London society, and if he is not careful, somebody will say so.
7176-92135-0002  But even the ends of such a dramatist has his moments.
7176-92135-0008  Lend me your ear for 10 minutes and you shall learn just what stagecraft is.
7176-92135-0016  This would be an easy way of doing it, but it would not be the best way, for the reason that it is too easy to call attention to itself.
7176-92135-0024  To be or not to be. That is the question. Whether team knows where to be.
7176-92135-0029  I want to get away from it all! Sweet!
7176-92135-0031  And there you are. We will look first to ensure that the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the same as the ovens are the
7176-92135-0033  Why not? This is the sun.
7176-92135-0038  The stage meal is popular because it proves to the audience that the actors, even when called Charles Haltrey or Owen Nears, are real people just like you and me.
7176-92135-0039  T, please, Matthews. Butler, impassable.
7729-102255-0000  The bogus legislature numbered 36 members.
7729-102255-0005  This was a formable array of advantages. Slavery was playing loaded dice.
7729-102255-0006  Coming by way of the Missouri River towns, he fell first among border ruffian companionship and influences, and perhaps having his inclinations already molded by his Washington instructions, his early impressions were decided to reverse to the Free State Prize.
7729-102255-0008  All the territorial dignitaries were present. Governor Shannon and John Calhoun, the Surveyor General, made the principal speech a denunciation of the abolitionists supporting the speech movement. Chief Justice McComps dignified the occasion with approving remarks.
7729-102255-0021  that the affair was magnified as a crowning truth that the Free State men were insurrectionists in their dominance.
7729-102255-0038  Atchison, who had been haranguing the mob, planted his two guns before the building and trained them...
8224-274381-0008  With these and some reinforcements of the Athol men and MacDonalds whom we have recalled, Montreux fell suddenly upon Argyle's country, and let loose upon it all the rage of war, carrying off the cattle, burning their houses, and putting the inhabitants to the shore.
8224-274381-0010  By a quick and unexpected march, Montrose hastened to Inner Lockie and presented himself in order of battle before the surprised but not afraid
8224-274381-0012  Montrose, weakly heavily, nearly one of his troops of force, and after putting the enemy's horse to ground, fell with united force upon their foot, who were entirely cut in pieces, though with the loss of the gallant Lord Gordon on the part of the Royalists,
8224-274381-0014  Besides members of the army who were excluded, many officers who were willing to serve under the new generals threw up their mission and unwarily facilitated the project of putting the army entirely into the hands of that faction.
8224-274381-0015  Though the discipline of the former parliamentary army was not contemptible, a more exact plan was introduced, and rigorously executed by these new commandments.
8224-274384-0000  He passed through Henley, St Albans, and came so near to London as Harrow on the Hill.
8224-274384-0006  The king stood up and called for that psalm which begins with these words.
8230-279154-0000  The analysis of knowledge will occupy us until the end of the 13th century, under the most difficult part of our whole entire planet.
8230-279154-0005  All that I'm doing is to use its lifeblocks new data as a help in the analysis for effort when moving back.
8230-279154-0007  Habit is a concept involving the occurrence of similar events at different times. If the behaviorist feels confident that there is such a phenomenon as habit, that can only be because he trusts his anger when it assures him that there have been other times.
8230-279154-0011  Some images, like some sensations, feel very familiar while others feel strange.
8230-279154-0018  There is, of course, a difference between knowing the temporary relation of a remembered event with the present and knowing the time limit of two remembered events.
8230-279154-0019  It would seem that only rather recent dates can be placed at all accurately by means of fillings given their particular relation to the present. But it is clear that such fillings must play an essential part in the process of dating remembered events.
8230-279154-0027  A gramophone, by the help of suitable records, might relate to us the incidence of its path, and people are not so different from gramophones as they like to believe.
8230-279154-0031  They give laws according to which images of past occurrences come into our minds, but do not discuss our belief that these images refer to past occurrences, which is what constitutes knowledge.
8230-279154-0036  A further stage is recognition.
8230-279154-0042  Thus, if I recognize a thing, the occasion of its previous existence, in virtue of which I recognize it, forms part of my experience by definition. Recognition will be one of the parts by which my experience is singled out in the rest of the world.
8455-210777-0000  I remained there alone for many hours, but I must acknowledge that before I left the chambers, I had gradually brought myself to look at the matter in another light.
8455-210777-0014  Sir Kennington Oval is a very fine player, said my wife.
8455-210777-0018  This, she said, was true hospitality. And I'm not sure that I did not agree with that.
8455-210777-0019  Then there were three or four leading men of the community with their wives, who were for the most part the fathers and mothers of the young ladies.
8455-210777-0031  You have received thanks for all that courtesy and hospitality for which your character in your life stands so high.
8455-210777-0032  He doesn't do it.
8455-210777-0033  But your power is so secure as you're going to go out of your hand. It can make us fear, fear, and fear. No disgrace, no weakness.
8455-210777-0036  I can afford to smile because I am absolutely powerless before you, but I do not to less feel that in the manner of which the progress of the world is concerned, I, or rather we, have been put down by brute force.
8455-210777-0043  But what does the delicate mission have?
8455-210777-0046  You may be quite sure it's there, said Captain Manilax, and that I can so use it as to half obliterate your town within two minutes of my return on board.
8455-210777-0050  One of us always remains on board while the aliens are here.
8455-210777-0052  You will allow me to suggest, said he, that that is a matter of opinion.
8455-210777-0058  It is founded on the acknowledged weakness of those who survive that period of life at which men cease to work.
8455-210777-0064  And I have no one ready to whom I can give up the archives of the government.
8463-287645-0006  The doctor who attended the injured creature in this case was simply told that she slipped and fell down the stairs as she was coming down.
8463-287645-0007  Another case, said John Westwood, was a little girl, half-grown, who was washing windows upstairs one day, and unluckily fell asleep from the window, and in this position was found by her mistress. In a rage, the mistress hit her a heavy slap, knocked her out of the window, and she fell to the pavement, and died in a few hours from the affair.
8463-287645-0011  She was a large, homely woman. They were common white people with no reputation in unity.
8463-294825-0000  It's almost beyond projection.
8463-294825-0002  First as a Paris stockbroker, later as a celebrated author and yachtsman, he went on frequent voyages to Britain, America, the Mediterranean.
8463-294828-0011  He went here, there, and everywhere in perfect contentment.
8463-294828-0012  Please forgive me for this underhanded way of admitting that I had turned forty.
8463-294828-0015  What's that? That's all the birds. Okay, come here.
8463-294828-0025  But we're going just the same.
8463-294828-0028  I opened a line of credits sufficient to cover the Barbarossa, and, conseil at my heels, I jumped into a carriage.
8463-294828-0030  I asked for Commander Farragut.
8463-294828-0033  I was well satisfied with my cabin, which was located in the stern and opened into the officer's house.
8463-294828-0035  and so if i had been delayed by a quarter of an hour or even less the frigate would have gone without me and i would have missed out on this unearthly extraordinary and inconceivable expedition whose true story might well meet with some skepticism
8555-284447-0000  Then he rushed downstairs into the courtyard, shouting loudly for his soldiers and threatening to patch everybody in his dominions if the ceremony was not recaptured.
8555-284447-0005  The rim of the great knife was high and big, and around it men worried the pages for the spectators to sit down.
8555-284447-0012  The captain shook his head.
8555-284447-0014  The idea of what you tell him where to go because it makes me easier to go. And the more he thought of it, the more he would, the more he would.
8555-284447-0023  I couldn't shiver much being bound so tight. When you lose, I'll need to have just one good shiver to relieve my feelings.
8555-284449-0001  Then they all marched out a little way into the fields, and found that the army of Pinkies had already formed, and was advancing steadily toward them.
8555-284449-0002  At the head of the Pinkies were Gip Gisinski and Button Bright, who had the parrot on his shoulder, and they were supported by Captain Coralie, and Captain Tintant, and Rosalie.
8555-284449-0006  Don't worry, Sizzledear. It'll all come right pretty soon.
8555-284449-0012  And I'll give the honour with all the shavings and lettering to the hands of me, besides the grass.
8555-284449-0015  I'll not be wicked anymore sighed the old guru I'll reform
8555-284449-0017  When first they entered the throne room, they tried to be as haughty and scornful as ever. But the blues who were a single pair, they loved the country. For those in a single person, all the blue country who loved the princesses, the least little bit.
8555-292519-0001  Guided by you. How we might stroll towards death. Our only music, one another's breath. Through gardens intimate with high hearts. Where silent poppies burn between the rocks. By pools where birches dance. Scummed with lily plants.
908-157963-0008  thou gentle maid of silent valleys and of modest brooks for thou shalt be clothed in light and fed with morning manna till summer's heat melts in the summer mountains in the spring to flourish in eternal vales they why should fell complain
908-157963-0010  She ceased and smiled at him, then sat down with her silver shawl.
908-157963-0012  But that is why I came from the kingdom of the rising sun. I banish from my holy ground, and who shall find my peace?
908-157963-0014  to send a little sound and have it before these kinds of stuff.
908-157963-0016  I pass away, yet I complain, and no one hears my voice.
908-157963-0030  Why an ear, a whirlpool, fierce to draw creations in?
908-31957-0000  Always said without a word.
908-31957-0007  Could it mean, to last, a love set, pendulous between sorrow and sorrow?
908-31957-0012  If he, to keep one oath, must lose one joy, like his life's star foretold.
908-31957-0014  A ring of amethyst I could not wear here, plainer to my side than that first kiss.
908-31957-0015  That was the chrism of love, which love's own crown, but sanctifying sweetness, did perceive that the third upon my lips was folded down in purple, purple skin. Since when, indeed, I have been proud and said, My life, my glory.
908-31957-0020  I thank all who have loved me in their hearts with thanks and love from mine.
