1089-134686-0007  A cold, lucid indifference reigned in his soul.
5683-32866-0019  The mystery of their origin, their capacity for evolving latent faculties of crime, and the steady vitality with which they survive the hearse and speak their deep-mouthed malignities in every newborn generation have associated them somehow in my mind with the spell of life exceeding and distinct from human and the special satanic action.
5683-32866-0020  The floor, more than anything else, showed the great age of the room.
5683-32866-0027  A cold bright moon was shining with clear sharp lights and shadows.
5683-32866-0030  A little bit of plaster tumbled down the chimney and startled me confoundedly.
5683-32879-0001  Well, she was better, though she had had a bad night.
5683-32879-0012  Thank you, Rachel. My cousin, Rachel. My only friend.
5683-32879-0013  Chelford had a note from Mr. Wilder this morning, another note, his coming delayed, and something of his having to see some person who was abroad continued dorkess after a little pause.
5683-32879-0015  Yes, said Rachel.
5683-32879-0016  And the wan oracle, having spoken, she sat down in the same sort of abstraction again beside Dorcas, and she looked full in her cousin's eyes.
5683-32879-0022  I like you still, Rachel. I'm sure I'll always like you.
5683-32879-0023  You resemble me, Rachel. You are fearless and inflexible and generous.
5683-32879-0024  Yes Rachel, I do love you.
61-70968-0000  He began a confused complaint against the wizard, who had vanished behind the curtain on the left.
61-70968-0003  He was like unto my father, in a way, and yet was not my father.
61-70968-0006  but then the picture was gone as quickly as it came.
61-70968-0013  Before them fled the stroller and his three sons, Capless and terrified,
61-70968-0021  Surely we can submit with good grace.
61-70968-0028  The head and chief of the riot, the Nottingham Apprentice, with clenched fists threatened Montfichet.
61-70968-0034  Amon Fichet, Amon Fichet, game well to the rescue!
61-70968-0040  Right willingly, for between us we have won the battle, answered Robin.
61-70968-0047  Master Monceau, the sheriff of Nottingham, was mightily put about when told of the rioting.
61-70968-0053  He is my Esquire Excellency, returned Robin with dignity.
61-70968-0056  The wine did certainly bring back the color to the squire's cheeks.
61-70968-0059  It'll be no disappointment to me.
61-70970-0000  Young Fitzuth had been commanded to his mother's chamber so soon as he had come out from his converse with the squire.
61-70970-0002  Most of all, Robin thought of his father. What would he counsel?
61-70970-0009  tis late, and I go myself within a short space.
61-70970-0014  Presently, he crossed the floor of his room with decided step.
61-70970-0016  We will go out together to the bower. There is a way down to the court from my window.
61-70970-0024  They moved thereafter cautiously about the hut, groping before and about them to find something to show that the warrant had fulfilled his mission.
61-70970-0026  Fitzuth's hand rested at last upon the top rung of a ladder, and slowly the truth came to him.
61-70970-0029  From the blackness behind the light they heard a voice. Warrantons.
61-70970-0030  Save me, masters, but you startled me rarely.
61-70970-0035  Warrenton spoke thus with significance to show Robin that he was not to think Jeffrey's claims to the estate would be passed by.
61-70970-0038  The old servant told him quietly as they crept back to Gamewell that this passageway led from the hut in the Pleasants to Sherwood, and that Jeffrey for the time was hiding with the outlaws in the forest.
672-122797-0005  Oh, that made him so angry.
672-122797-0007  In autumn, the woodcutters always came and felled some of the largest trees.
672-122797-0010  Rejoice in thy growth," said the sunbeams.
672-122797-0016  Yes, and something better, something still Grander will surely follow. Or wherefore should they thus ornament me?
672-122797-0017  Something better, something still grander must follow, but what?
672-122797-0018  Rejoice in our presence, said the air and the sunlight.
672-122797-0019  Rejoice in my own fresh youth!
672-122797-0027  The servants, as well as the young ladies, decorated it.
672-122797-0032  cried the young ladies, and they quickly put out the fire.
672-122797-0034  A story!" cried the children, drawing a little fat man towards the tree.
672-122797-0035  But I shall tell only one story.
672-122797-0038  thought the fir tree, and believed it all, because the man who told the story was so good-looking.
672-122797-0047  How kind man is, after all.
672-122797-0050  They snuffed about the fir tree and rustled among the branches.
672-122797-0056  said the fir tree, thinking over what he had himself related.
672-122797-0062  No, said the tree.
672-122797-0064  At last the little mice stayed away also, and the tree sighed. After all, it was very pleasant when the sleek little mice sat round me and listened to what I told them.
672-122797-0067  The trunks were moved, the tree was pulled out and thrown. Rather hard it is true, down on the floor. But a man drew him towards the stairs, where the daylight shone.
6829-68769-0000  Kenneth and Beth refrained from telling the other girls or Uncle John of Old Will Rogers' visit, but they got Mr. Watson in the library and questioned him closely about the penalty for forging a check.
6829-68769-0001  It was a serious crime indeed, Mr. Watson told them, and Tom Gates bade fair to serve a lengthy term in the State's prison as a consequence of his rash act.
6829-68769-0013  Maybe see Gates at once, ask Kenneth.
6829-68769-0015  Sometimes, I'm that yearning for a smoke, I'm nearly crazy, and I don't know which is worse, dying one way or the other.
6829-68769-0041  I'm not electioneering just now.
6829-68769-0045  I'll pay all the cost besides.
6829-68769-0046  You're foolish. Why should you do all this?
6829-68769-0048  Give me a check for 150, and I'll turn over to you the Forge check and quash further proceedings.
6829-68769-0052  He might have had that forged check for the face of it if he'd been sharp
6829-68769-0053  and to think we can save all that misery and despair by the payment of $150.
6829-68771-0002  the weak need contingency must be strengthened and fortified, and a couple of hundred votes in one way or the other secured from the opposition.
6829-68771-0005  The only thing necessary was to fix Seth Reynolds, and this Hopkins arranged personally.
6829-68771-0006  And this was why Kenneth and Beth discovered him conversing with the young woman in the buggy.
6829-68771-0021  But it can't be, protested the girl.
6829-68771-0023  You speak like an educated person, said Beth, wonderingly. Where is your home?
6829-68771-0033  She rose quickly to her feet with an impetuous gesture that made her visitor catch her breath.
6829-68771-0035  Will you leave me alone in my own room or must I go away to escape you?
6829-68771-0036  Eliza closed the door behind her with a decided slam, and a key clicked in the lock.
6930-75918-0001  The English voted to the French baskets of flowers of which they had made a plentiful provision to greet the arrival of the young princess. The French, in return, invited the English to a supper, which was to be given the next day.
6930-75918-0005  The Count had thrown himself back on his seat, leaning his shoulders against the partition of the tent and remained thus, his face buried in his hands with heaving chest and restless limbs.
6930-75918-0014  But, continued Rao, not interrupted by this movement of his friend, heaven be praised, the French, who are pronounced to be thoughtless and indiscreet, reckless even, are capable of bringing a calm and sound judgment to bear on matters of such high importance.
6930-75918-0020  Bragalon watched for some time the conduct of the two lovers listen to the loud and uncivil slumbers of Manachempe who snored as imperiously as though he was wearing his blue and gold instead of his violet suit.
6930-76324-0000  Goliath makes another discovery.
6930-76324-0006  Hers happened to be on the same frame too, but she evidently didn't care about it.
6930-76324-0008  I thought we were stumped again when I first saw that picture, but it's been of some use after all.
6930-76324-0017  Oh, let him come along, she urged. I do love to see him about that old house.
6930-76324-0018  He makes it sort of cozier.
6930-76324-0025  Why, it's Goliath, as usual, they both cried peering in.
6930-81414-0001  I heard a noise behind. I turned and saw Kaffir, his black eyes shining, while in his hand he held a gleaming knife. He lifted it above his head as if to strike, but I had the strength of ten men, and I hurled him from me.
6930-81414-0014  In the light of the moon I saw a knife red with blood and my hand too was also discolored.
6930-81414-0018  I remembered saying, have we been together?
7021-79730-0002  by reason and affection.
7021-79740-0009  They were now playing with their dolls in the parlor.
7021-79740-0012  said she, pointing to the playthings. See?
7021-79740-0014  And this method of treating the case was much more effectual in making them disposed to avoid committing a similar fault another time than any direct rebukes or expressions of displeasure addressed personally to them would have been.
7021-85628-0000  But Anders cared nothing about that.
7021-85628-0004  Yes, why not, thought Anders?
7021-85628-0008  For, like as not, they must have thought him a prince when they saw his fine cap.
7021-85628-0011  The princess sat down under a blue canopy with bouquets of roses and she let Anders sit in a golden chair by her side.
7021-85628-0020  He darted like an arrow through all the halls, down all the stairs, and across the yard.
7127-75946-0001  Ah, very well.
7127-75946-0014  The queens had taken their seats upon a magnificent dais or platform erected upon the borders of the lake in a theater of wonderful elegance of construction.
7127-75946-0020  Far from it, Sire. Your Majesty haven't given no directions about it. The musicians have retained it.
7127-75947-0001  Upon this, Madame Dane to turn her eyes languishingly towards the Comte, observing
7127-75947-0005  I allude to the goddess.
7127-75947-0007  She then rose, humming the air to which she was presently going to dance.
7127-75947-0008  The arrow pierced his heart, and wounded him mortally.
7127-75947-0013  I remember now, and I congratulate myself. Do you love anyone?
7127-75947-0014  Forgive me, I hardly know what I am saying. A thousand times forgive me. Madame was right, quite right, this brutal exile has completely turned my brain.
7127-75947-0031  You are positive, then.
7127-75947-0037  Oh, I am speaking seriously, replied Montelet. And my opinion in this case is quite as good as the King's, I suppose. Is it not, Louise?
7176-88083-0007  But such was his keenness that, even while the wide flukes of his engorged victim were still sticking out at the corners of his beak, his fierce red eyes were once more peering downward into the torrent in search of fresh prey.
7176-88083-0008  In despair, he hurled himself downward too soon.
7176-88083-0012  The hawk alighted on the dead branch and sat upright, motionless as if surprised.
7176-88083-0018  But this frequenture of the heights of air for all his savage valor was troubled at the leaping waves and the tossing foam of these mad rapids. He did not understand them.
7176-88083-0020  where the waves for an instant sank. They came closer, but not quite within grasping reach.
7176-88083-0021  But, as before, the leaping waves of the rapids were too much for his pursuer, and he was able to flap his way onward in a cloud of foam, while doom hung low above his head, yet hesitated to strike.
7176-88083-0026  The drag upon his beak and the light check upon his wings were inexplicable to him and appalling.
7176-92135-0001  In short, he becomes a prominent figure in London society, and if he is not careful, somebody will say so.
7176-92135-0002  But even the unsuccessful dramatist has his moments.
7176-92135-0008  Lend me your ear for 10 minutes and you shall learn just what stagecraft is.
7176-92135-0016  This would be an easy way of doing it, but it would not be the best way, for the reason that it is too easy to call attention to itself.
7176-92135-0024  to be or not to be that is the question whether to his no blur
7176-92135-0029  I want to get away from it all. Swoon.
7176-92135-0031  And there you are. You will of course appreciate that the unfinished instances not only save time, but also make the maneuvering very much more natural.
7176-92135-0033  relapses into science for the rest of the evening.
7176-92135-0038  A stage meal is popular because it proved to the audience that the actors, even one called Charles Hultry or Owen Nair's, are real people just like you and me.
7176-92135-0039  Tea, please, Matthews. Butler, impassively.
7729-102255-0000  The bogus legislature numbered 36 members.
7729-102255-0005  This was a formable array of advantages. Slavery was playing with loaded dice.
7729-102255-0006  Coming by way of the Missouri River towns, he fell first among border ruffian companionship and influences, and perhaps having his inclinations already molded by his Washington instructions, his early impressions were decidedly adverse to the Free State cause.
7729-102255-0008  All the territorial dignitaries were present. Governor Shannon presided. John Calhoun, the surveyor general, made the principal speech, a denunciation of the abolitionist, supporting the Topeka movement. Chief Justice Lacombe dignified the occasion with approving remarks.
7729-102255-0021  But the affair was magnified as a crowning proof that the Free State men were insurrectionists and outlaws.
7729-102255-0038  Atchison, who had been haranguing the mob, planted his two guns before the building and trained them upon it.
8224-274381-0008  With these and some reinforcements of the Atholmen and McDonald's whom he had recalled, Montrose fell suddenly upon Argyle's country, and let loose upon it all the rage of war, carrying off the cattle, burning the houses, and putting the inhabitants to the sword.
8224-274381-0010  By a quick and unexpected march, Montrose hastened to Ineloki, and presented himself in order of battle before the surprised, but not a frightened, Covenanters.
8224-274381-0012  Montrose, weak in cavalry, here lined his troops of horse with infantry, and after putting the enemy's horse to rout, fell with united force upon their foot, who were entirely cut in pieces, though with the loss of the gallant Lord Gordon on the part of the royalists.
8224-274381-0014  Besides members of parliament who were excluded, many officers unwilling to serve under the new generals threw up their commissions, and then warily facilitated the project of putting the army entirely into the hands of that faction.
8224-274381-0015  Though the discipline of the former parliamentary army was not contemptible, a more exact plan was introduced, and rigorously executed by these new commanders.
8224-274384-0000  He passed through Henley, St Albans, and came so near to London as Harrow on the Hill.
8224-274384-0006  The king stood up and called for that psalm which begins with these words.
8230-279154-0000  The analysis of knowledge will occupy us until the end of the 13th lecture and is the most difficult part of our whole enterprise.
8230-279154-0005  All that I am doing is to use its logical tuneability as a help in the analysis of what occurs when we remember.
8230-279154-0007  Habit is a concept involving the occurrence of similar events at different times. If the behaviorist feels confident that there is such a phenomenon as habit, that can only be because he trusts his memory, when it assures him that there have been other times.
8230-279154-0011  Some images, like some sensations, feel very familiar while others feel strange.
8230-279154-0018  There is, of course, a difference between knowing the temporal relation of a remembered event to the present and knowing the time order of two remembered events.
8230-279154-0019  It would seem that only rather recent events can be placed at all accurately by means of feelings giving their temporal relation to the present, but it is clear that such feelings must play an essential part in the process of dating remembered events.
8230-279154-0027  A gramophone, by the help of suitable records, might relate to us the incidents of its past, and people are not so different from gramophones as they like to believe.
8230-279154-0031  They give laws according to which images of past occurrences come into our minds, but do not discuss our belief that these images refer to past occurrences, which is what constitutes knowledge memory.
8230-279154-0036  A further stage is recognition.
8230-279154-0042  Thus, if I recognize a thing, the occasion of its previous existence in virtue of which I recognize it forms part of my experience by definition. Recognition will be one of the marks by which my experience is singled out from the rest of the world.
8455-210777-0000  I remained there alone for many hours, but I must acknowledge that before I left the chambers, I had gradually brought myself to look at the matter in another light.
8455-210777-0014  Sir Kennington Oval is a very fine player, said my wife.
8455-210777-0018  This, she said, was true hospitality. And I am not sure that I did not agree with that.
8455-210777-0019  Then there were three or four leading men of the community with their wives who were for the most part the fathers and mothers of the young ladies.
8455-210777-0031  You have received us with all that courtesy and hospitality for which your character in England stands so high.
8455-210777-0032  It is a duty, said I.
8455-210777-0033  But your power is so superior to any that I can advance, as to make us here feel that there is no disgrace in yielding to it.
8455-210777-0036  I can afford to smile because I am absolutely powerless before you. But I do not, the less, feel that in a matter of which the progress of the world is concerned, I, or rather we, have been put down by brute force.
8455-210777-0043  But what is the delicate mission?" I asked.
8455-210777-0046  You may be quite sure it's there, said Captain Battleaxe, and that I can so use it as to half obliterate your town within two minutes of my return on board.
8455-210777-0050  One of us always remains on board while the other is on shore.
8455-210777-0052  You will allow me to suggest, said he, that that is a matter of opinion.
8455-210777-0058  It is founded on the acknowledged weakness of those who survive that period of life at which men cease to work.
8455-210777-0064  And I have no one ready to whom I can give up the archives of the government.
8463-287645-0006  The doctor who attended the injured creature in this case was simply told that she slipped and fell down the stairs as she was coming down.
8463-287645-0007  Another case, said John Wesley, was a little girl, half-grown, who was washing windows upstairs one day, and, unluckily, fell asleep in the window, and in this position was found by her mistress. In a rage, the mistress hid her a heavy slap, knocked her out of the window, and she fell to the pavement, and died in a few hours from the effects thereof.
8463-287645-0011  She was a large, homely woman. They were common white people with no reputation in the community.
8463-294825-0000  It's almost beyond conjecture.
8463-294825-0002  First as a Paris stockbroker, later as a celebrated author and yachtsman, he went on frequent voyages to Britain, America, the Mediterranean.
8463-294828-0011  He went here, there, and everywhere in perfect contentment.
8463-294828-0012  Please forgive me for this underhanded way of admitting that I had turned forty.
8463-294828-0015  Conce, I called a third time. Conce appeared.
8463-294828-0025  but we're going just the same.
8463-294828-0028  I opened a line of credit sufficient to cover the Barbarossa and Conce at my heels, I jumped into a carriage.
8463-294828-0030  I asked for Commander Farragut.
8463-294828-0033  I was well satisfied with my cabin, which was located in the stern and opened into the officer's mess.
8463-294828-0035  And so, if I had been delayed by a quarter of an hour or even less, the frigate would have gone without me, and I would have missed out on this unearthly, extraordinary, and inconceivable expedition, whose true story might well meet with some skepticism.
8555-284447-0000  Then he rushed downstairs into the courtyard, shouting loudly for his soldiers and threatening to patch everybody and his dominions that the sailor man was not recaptured.
8555-284447-0005  The room of the Great Knife was high and big, and around it ran rows of benches for the spectators to sit upon.
8555-284447-0012  The captain shook his head.
8555-284447-0014  The idea of patching cat and bill to a goat was vastly amusing to him. And the more he thought of it, the more he roared with laughter.
8555-284447-0023  I couldn't shiver much being bound so tight, but when I'm loose I mean to have just one good shiver to relieve my feelings.
8555-284449-0001  Then they all marched out a little way into the fields, and found that the army of pinkies had already formed, and was advancing steadily toward them.
8555-284449-0002  At the head of the pinkies were Getka Sizzle and Button Bright, who had the parrot on his shoulder, and they were supported by Captain Coralie and Captain Tintent and Rosalie the Witch.
8555-284449-0006  Don't worry, sizzle deer, it'll all come right pretty soon.
8555-284449-0012  I'll gladly do that, promised the new Bularoo, and I'll feed the honorable Godal the shavings and leather and tin cans he can eat, besides the grass.
8555-284449-0015  I'll not be wicked anymore, sighed the old Boolaroo. I'll reform.
8555-284449-0017  When first they entered the throne room they tried to be as haughty and scornful as ever, but the blues who were assembled there all laughed at them and jeered them, for there was not a single person in all the blue country who loved the princess as the least little bit.
8555-292519-0001  Guided by you, how we might stroll towards death, our only music one another's breath, through gardens intimate with hollyhocks, where silent poppies burn between the rocks, by pools where birches bend to confidants above green waters scummed with lily plants.
908-157963-0008  Thou gentle maid of silent valleys and of modest brooks, For thou shall be clothed in light and fed with morning manna, Till summer's heat melts thee beside the fountains and the springs To flourish in eternal veils. They, why should thou complain,
908-157963-0010  She ceased and smiled in tears, then sat down in her silver shrine.
908-157963-0012  But Thel is like a faint cloud kindled at the rising sun. I vanish from my pearly throne, and who shall find my place?
908-157963-0014  Descend, O little cloud, and hover before the eyes of Thel.
908-157963-0016  I pass away, yet I complain, and no one hears my voice.
908-157963-0030  Why an ear, a whirlpool, fears to draw creations in?
908-31957-0000  All is said without a word.
908-31957-0007  Could it mean to last a love set pendulous between sorrow and sorrow?
908-31957-0012  If he, to keep one oath, must lose one joy, by his life's star foretold.
908-31957-0014  A ring of amethyst I could not wear here, plainer to my sight, than that first kiss.
908-31957-0015  That was the chrism of love, which loves own crown, with sanctifying sweetness did proceed the third upon my lips was folded down in perfect purple state. Since when, indeed, I have been proud and said, my love, my own.
908-31957-0020  I thank all who have loved me in their hearts, with thanks and love from mine.
